,JAHR,MONAT,ZNR,ZNAME,STRTYP,STRNR,RINAME,FZTYP,DTVMS,DTVMF,DTVMO,DTVDD,DTVFR,DTVSA,DTVSF,TVMAX,TVMAXT,DATUM
35,2024,12,1170,Donaukanal Straße,B,227,Gesamt,LkwÄ,2215,2736,2659,2798,2658,1698,1021,3326,"Do,12.12.",2024-12-01
36,2024,12,1177,Handelskai,B,14,Klosterneuburg,Kfz,9712,10783,10489,11020,10499,9123,6990,13125,"Mi,18.12.",2024-12-01
37,2024,12,1177,Handelskai,B,14,Klosterneuburg,LkwÄ,387,521,506,562,428,212,101,704,"Mi,18.12.",2024-12-01
38,2024,12,1177,Handelskai,B,14,Freudenau,Kfz,11894,13439,12560,13851,13408,10668,8179,16434,"Do,05.12.",2024-12-01
39,2024,12,1177,Handelskai,B,14,Freudenau,LkwÄ,506,699,643,760,602,249,102,1027,"Mi,18.12.",2024-12-01
40,2024,12,1177,Handelskai,B,14,Gesamt,Kfz,21606,24222,23049,24871,23906,19791,15169,29505,"Mi,18.12.",2024-12-01
41,2024,12,1177,Handelskai,B,14,Gesamt,LkwÄ,893,1220,1149,1323,1029,461,204,1731,"Mi,18.12.",2024-12-01
42,2024,12,1179,Brunner Straße,B,12,Zentrum,Kfz,12028,14073,13845,14117,14238,10749,6917,15935,"Di,17.12.",2024-12-01
43,2024,12,1179,Brunner Straße,B,12,Zentrum,LkwÄ,826,1145,1083,1218,1024,341,189,1474,"Di,17.12.",2024-12-01
44,2024,12,1179,Brunner Straße,B,12,Brunn am Gebirge,Kfz,16050,18167,17850,18187,18508,14916,10651,20397,"Fr,13.12.",2024-12-01
45,2024,12,1179,Brunner Straße,B,12,Brunn am Gebirge,LkwÄ,957,1319,1261,1386,1208,432,223,1674,"Mi,11.12.",2024-12-01
46,2024,12,1179,Brunner Straße,B,12,Gesamt,Kfz,28079,32240,31695,32305,32745,25664,17568,36206,"Fr,13.12.",2024-12-01
47,2024,12,1179,Brunner Straße,B,12,Gesamt,LkwÄ,1783,2464,2344,2603,2232,773,412,3125,"*Di,17.12.",2024-12-01
48,2024,12,1180,Hochstraße,B,13,Zentrum,Kfz,4827,5385,5146,5430,5560,4501,3418,6121,"Fr,20.12.",2024-12-01
49,2024,12,1180,Hochstraße,B,13,Zentrum,LkwÄ,207,266,256,272,260,121,89,339,"Di,03.12.",2024-12-01
50,2024,12,1180,Hochstraße,B,13,Perchtoldsdorf,Kfz,5057,5668,5378,5730,5860,4624,3559,6611,"Fr,20.12.",2024-12-01
51,2024,12,1180,Hochstraße,B,13,Perchtoldsdorf,LkwÄ,214,274,258,282,271,123,93,360,"Mi,04.12.",2024-12-01
52,2024,12,1180,Hochstraße,B,13,Gesamt,Kfz,9884,11053,10524,11160,11420,9125,6977,12732,"Fr,20.12.",2024-12-01
53,2024,12,1180,Hochstraße,B,13,Gesamt,LkwÄ,421,539,513,554,531,244,182,676,"Mi,04.12.",2024-12-01
54,2024,12,1181,Breitenfurter Straße,B,13,Zentrum,Kfz,5972,6562,6353,6581,6771,5718,4433,7430,"Fr,20.12.",2024-12-01
55,2024,12,1181,Breitenfurter Straße,B,13,Zentrum,LkwÄ,203,258,250,265,249,138,84,328,"Di,03.12.",2024-12-01
56,2024,12,1181,Breitenfurter Straße,B,13,Breitenfurt,Kfz,5842,6495,6273,6577,6548,5387,4237,7288,"Mi,18.12.",2024-12-01
57,2024,12,1181,Breitenfurter Straße,B,13,Breitenfurt,LkwÄ,192,243,239,247,237,124,83,298,"Di,03.12.",2024-12-01
58,2024,12,1181,Breitenfurter Straße,B,13,Gesamt,Kfz,11815,13057,12626,13158,13319,11105,8670,14634,"Fr,20.12.",2024-12-01
59,2024,12,1181,Breitenfurter Straße,B,13,Gesamt,LkwÄ,395,501,490,512,486,261,167,626,"Di,03.12.",2024-12-01
60,2024,12,1182,Simmeringer Hptstr.,B,225,Zentrum,Kfz,7793,8879,8798,8705,9458,7408,4913,10475,"*Fr,13.12.",2024-12-01
